complaint,category
No proper infrastructure available,Infrastructure
water not working properly,Water
Issue with crime in my area,Crime
transport problem causing inconvenience,Transport
Severe electricity issue needs urgent attention,Electricity
Facing water issue since many days,Water
sanitation is causing daily problems,Sanitation
infrastructure service is very poor,Infrastructure
road not working properly,Road
health needs immediate repair,Health
Issue with water in my area,Water
infrastructure problem causing inconvenience,Infrastructure
Severe crime issue needs urgent attention,Crime
Severe road issue needs urgent attention,Road
Facing transport issue since many days,Transport
No proper infrastructure available,Infrastructure
network not working properly,Network
environment not working properly,Environment
infrastructure service is very poor,Infrastructure
Complaint regarding health,Health
Facing environment issue since many days,Environment
environment needs immediate repair,Environment
Complaint regarding electricity,Electricity
crime not working properly,Crime
water needs immediate repair,Water
Complaint regarding transport,Transport
sanitation needs immediate repair,Sanitation
No proper environment available,Environment
water service is very poor,Water
health service is very poor,Health
water problem causing inconvenience,Water
Facing network issue since many days,Network
Complaint regarding sanitation,Sanitation
environment needs immediate repair,Environment
Complaint regarding transport,Transport
infrastructure service is very poor,Infrastructure
electricity problem causing inconvenience,Electricity
Issue with infrastructure in my area,Infrastructure
road is causing daily problems,Road
crime is causing daily problems,Crime
Facing electricity issue since many days,Electricity
Issue with water in my area,Water
Severe network issue needs urgent attention,Network
No proper infrastructure available,Infrastructure
Complaint regarding crime,Crime
sanitation service is very poor,Sanitation
No proper crime available,Crime
health not working properly,Health
Issue with sanitation in my area,Sanitation
Severe crime issue needs urgent attention,Crime
road is causing daily problems,Road
infrastructure is causing daily problems,Infrastructure
No proper environment available,Environment
transport is causing daily problems,Transport
No proper water available,Water
transport not working properly,Transport
water problem causing inconvenience,Water
network not working properly,Network
electricity needs immediate repair,Electricity
Issue with network in my area,Network
crime is causing daily problems,Crime
road not working properly,Road
Issue with road in my area,Road
health problem causing inconvenience,Health
network not working properly,Network
Issue with water in my area,Water
infrastructure not working properly,Infrastructure
crime needs immediate repair,Crime
Severe sanitation issue needs urgent attention,Sanitation
Severe water issue needs urgent attention,Water
No proper crime available,Crime
Issue with infrastructure in my area,Infrastructure
No proper infrastructure available,Infrastructure
No proper crime available,Crime
water is causing daily problems,Water
crime problem causing inconvenience,Crime
Facing transport issue since many days,Transport
environment service is very poor,Environment
Issue with network in my area,Network
sanitation service is very poor,Sanitation
crime is causing daily problems,Crime
Issue with crime in my area,Crime
water is causing daily problems,Water
Issue with health in my area,Health
No proper infrastructure available,Infrastructure
Issue with infrastructure in my area,Infrastructure
Severe transport issue needs urgent attention,Transport
road needs immediate repair,Road
No proper environment available,Environment
Facing electricity issue since many days,Electricity
transport problem causing inconvenience,Transport
No proper health available,Health
Severe network issue needs urgent attention,Network
Severe transport issue needs urgent attention,Transport
Facing environment issue since many days,Environment
environment needs immediate repair,Environment
No proper water available,Water
water needs immediate repair,Water
water needs immediate repair,Water
Facing sanitation issue since many days,Sanitation
No proper infrastructure available,Infrastructure
water not working properly,Water
Issue with sanitation in my area,Sanitation
Complaint regarding electricity,Electricity
environment problem causing inconvenience,Environment
environment problem causing inconvenience,Environment
crime problem causing inconvenience,Crime
No proper environment available,Environment
Severe water issue needs urgent attention,Water
road service is very poor,Road
Complaint regarding health,Health
Complaint regarding crime,Crime
health needs immediate repair,Health
Issue with road in my area,Road
water needs immediate repair,Water
infrastructure problem causing inconvenience,Infrastructure
transport needs immediate repair,Transport
health is causing daily problems,Health
transport problem causing inconvenience,Transport
Severe health issue needs urgent attention,Health
Issue with transport in my area,Transport
Facing water issue since many days,Water
water is causing daily problems,Water
Severe infrastructure issue needs urgent attention,Infrastructure
Severe crime issue needs urgent attention,Crime
Severe sanitation issue needs urgent attention,Sanitation
infrastructure not working properly,Infrastructure
Complaint regarding water,Water
Complaint regarding infrastructure,Infrastructure
Issue with network in my area,Network
water problem causing inconvenience,Water
infrastructure needs immediate repair,Infrastructure
network problem causing inconvenience,Network
electricity needs immediate repair,Electricity
crime service is very poor,Crime
No proper transport available,Transport
sanitation needs immediate repair,Sanitation
health not working properly,Health
health problem causing inconvenience,Health
sanitation not working properly,Sanitation
No proper network available,Network
environment problem causing inconvenience,Environment
Severe infrastructure issue needs urgent attention,Infrastructure
No proper water available,Water
Complaint regarding electricity,Electricity
crime is causing daily problems,Crime
water is causing daily problems,Water
environment needs immediate repair,Environment
water problem causing inconvenience,Water
Severe network issue needs urgent attention,Network
Facing environment issue since many days,Environment
No proper network available,Network
Complaint regarding environment,Environment
Severe electricity issue needs urgent attention,Electricity
Issue with sanitation in my area,Sanitation
Facing road issue since many days,Road
network is causing daily problems,Network
Facing electricity issue since many days,Electricity
health is causing daily problems,Health
Severe electricity issue needs urgent attention,Electricity
Complaint regarding environment,Environment
transport problem causing inconvenience,Transport
Issue with sanitation in my area,Sanitation
